team,games,shots,xg,pens_for,pens_against
Argentina,6,82,11.34,1,1
Bolivia,3,17,0.99,0,0
Brazil,4,49,4.78,2,0
Canada,6,63,6.94,0,0
Chile,3,22,1.61,0,0
Colombia,6,76,7.0,3,0
Costa Rica,3,9,0.47,0,1
Ecuador,4,48,3.23,2,0
Jamaica,3,28,2.11,0,1
Mexico,3,57,3.67,1,1
Panama,4,50,3.22,0,2
Paraguay,3,43,2.96,0,2
Peru,3,23,1.42,0,1
United States,3,34,3.79,0,0
Uruguay,6,85,7.85,0,0
Venezuela,4,55,4.58,1,1
