team,games,shots,xg,pens_for,confidence,source_note
Argentina,7,76,11.8,5,high,"xgscore.io; 0.155 xG/shot; pens vs SAU/NED/CRO/FRA scored + POL missed"
France,7,92,11.5,2,high,"xgscore.io; 0.125 xG/shot; both penalties in the final (Mbappe)"
